"id","A1_sum","A4_sum","B19_sum","C1_sum","C3_sum","C42.2_sum","C45a_sum","C47a_sum","D1_sum","sample_name","sample_type","collection_latitude","collection_longitude","collection_depth","timepoint","Barcode","full_id","collection_date","coral_species","transplant_group","native_site","transplant_site","native_transplant","home_foreign","parent","transplant_final_site","transplant_initial_site","transplant_group_sampled","transplant_time","dominant_type","minor_type","maj_ITS2","min_ITS2","notes","treatment"
"A5CW22",0,1,0,0,0,0,0,0,0,"A5CW22","coral_field",12.07093,-68.8585,1,"T1","A5","45HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","55DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A5CW23",0,0.816926722,0.183073278,0,0,0,0,0,0,"A5CW23","coral_field",12.07093,-68.8585,1,"T2","A5","45HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","55DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A6CW22",0,0.901389101,0.098610899,0,0,0,0,0,0,"A6CW22","coral_field",12.07093,-68.8585,1,"T1","A6","46HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","56DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A6CW23",0,0.945938999,0.054061001,0,0,0,0,0,0,"A6CW23","coral_field",12.07093,-68.8585,1,"T2","A6","46HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","56DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A7CW22",0,0.949452954,0.050547046,0,0,0,0,0,0,"A7CW22","coral_field",12.07093,-68.8585,1,"T1","A7","47HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","57DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4","B19","A4","B19","","native"
"A7CW23",0,0.964549101,0.035450899,0,0,0,0,0,0,"A7CW23","coral_field",12.07093,-68.8585,1,"T2","A7","47HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","57DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","B19","","native"
"A8CW22",0,1,0,0,0,0,0,0,0,"A8CW22","coral_field",12.07093,-68.8585,1,"T1","A8","48HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","58DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A8CW23",0,0.927001067,0.072998933,0,0,0,0,0,0,"A8CW23","coral_field",12.07093,-68.8585,1,"T2","A8","48HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","58DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","N/A","","native"
"A9CW22",0,1,0,0,0,0,0,0,0,"A9CW22","coral_field",12.07093,-68.8585,1,"T1","A9","49HBPX","22-Nov","Porites sp.","Bay Native","Bay","Bay","Native","Home","59DBPP","Bay","Bay","Bay to Bay","Bay to Bay T1","A4",NA,"A4","N/A","","native"
"A9CW23",0,0.941554322,0.058445678,0,0,0,0,0,0,"A9CW23","coral_field",12.07093,-68.8585,1,"T2","A9","49HBPY","23-Jun","Porites sp.","Bay Native","Bay","Bay","Native","Home","59DBPP","Bay","Bay","Bay to Bay","Bay to Bay T2","A4","B19","A4","N/A","","native"
"B10CW22",0,0,0.149003851,0,0,0,0,0,0.850996149,"B10CW22","coral_field",12.07093,-68.8585,1,"T1","B10","53HBSX","22-Nov","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","43DBSS","Bay","Bay","Bay to Bay","Bay to Bay T1","D1","B19","D1","B19","","native"
"B10CW23",0,0,0.095820225,0,0,0,0,0,0.904179775,"B10CW23","coral_field",12.07093,-68.8585,1,"T2","B10","53HBSY","23-Jun","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","43DBSS","Bay","Bay","Bay to Bay","Bay to Bay T2","D1","B19","D1","B19","","native"
"B11CW22",0,0,0,0.984861916,0,0,0,0,0.015138084,"B11CW22","coral_field",12.07093,-68.8585,1,"T1","B11","54HBSX","22-Nov","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","44DBSS","Bay","Bay","Bay to Bay","Bay to Bay T1","C1","D1","C1","D1","","native"
"B11CW23",0,0,0,1,0,0,0,0,0,"B11CW23","coral_field",12.07093,-68.8585,1,"T2","B11","54HBSY","23-Jun","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","44DBSS","Bay","Bay","Bay to Bay","Bay to Bay T2","C1",NA,"C1","D1","","native"
"B12CW22",0,0,0,0.917595796,0,0,0,0,0.082404204,"B12CW22","coral_field",12.07093,-68.8585,1,"T1","B12","55HBSX","22-Nov","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","45DBSS","Bay","Bay","Bay to Bay","Bay to Bay T1","C1","D1","C1","D1","","native"
"B12CW23",0,0,0,0.966175056,0,0,0,0,0.033824944,"B12CW23","coral_field",12.07093,-68.8585,1,"T2","B12","55HBSY","23-Jun","Siderastrea siderea","Bay Native","Bay","Bay","Native","Home","45DBSS","Bay","Bay","Bay to Bay","Bay to Bay T2","C1","D1","C1","D1","","native"
"B1CW22",0,0,0,0,0,0,0,0,1,"B1CW22","coral_field",12.06624,-68.86019,5,"T1","B1","44FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","44DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
"B1CW23",0,0,0,0,0,0,0,0,1,"B1CW23","coral_field",12.06624,-68.86019,5,"T2","B1","44FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","44DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1",NA,"D1","N/A","","transplant"
"B2CW22",0,0,0,0,0,0,0,0,1,"B2CW22","coral_field",12.06624,-68.86019,5,"T1","B2","45FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","45DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
"B2CW23",0,0,0,0,0,0,0,0,1,"B2CW23","coral_field",12.06624,-68.86019,5,"T2","B2","45FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","45DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1",NA,"D1","N/A","","transplant"
"B3CW22",0,0,0,0,0,0,0,0,1,"B3CW22","coral_field",12.06624,-68.86019,5,"T1","B3","46FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","46DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
"B3CW23",0,0,0.053475936,0.3332104,0,0,0,0,0.613313664,"B3CW23","coral_field",12.06624,-68.86019,5,"T2","B3","46FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","46DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2",NA,"B19","D1","C1/B19","D1 60% majority","transplant"
"B4CW22",0,0,0,0.046870717,0,0,0,0,0.953129283,"B4CW22","coral_field",12.06624,-68.86019,5,"T1","B4","47FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","47DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1","C1","D1","C1","","transplant"
"B4CW23",0,0,0.071969273,0.044412127,0,0,0,0,0.8836186,"B4CW23","coral_field",12.06624,-68.86019,5,"T2","B4","47FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","47DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1","B19","D1","C1/B19","","transplant"
"B5CW22",0,0,0,0,0,0,0,0,1,"B5CW22","coral_field",12.06624,-68.86019,5,"T1","B5","48FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","48DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
"B5CW23",0,0,0.028921885,0.094899935,0,0,0,0,0.876178179,"B5CW23","coral_field",12.06624,-68.86019,5,"T2","B5","48FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","48DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1","B19","D1","C1/B19","","transplant"
"B6CW22",0,0,0.10662667,0,0,0,0,0,0.89337333,"B6CW22","coral_field",12.06624,-68.86019,5,"T1","B6","49FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","49DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1","B19","D1","B19","","transplant"
"B6CW23",0,0,0.12625538,0,0,0,0,0,0.87374462,"B6CW23","coral_field",12.06624,-68.86019,5,"T2","B6","49FRSY","23-Jun","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","49DBSS","Reef","Bay","Bay to Reef","Bay to Reef T2","D1","B19","D1","B19","","transplant"
"B7CW22",0,0,0,0,0,0,0,0,1,"B7CW22","coral_field",12.06624,-68.86019,5,"T1","B7","50FRSX","22-Nov","Siderastrea siderea","Bay Transplant","Bay","Reef","Transplant","Foreign","50DBSS","Reef","Bay","Bay to Reef","Bay to Reef T1","D1",NA,"D1","N/A","","transplant"
