sample_uid,sample_name,sample_type,collection_latitude,collection_longitude,collection_depth,Site,timepoint,id,Barcode,full_id,collection_date,coral_species,transplant_group,native_site,transplant_site,native_transplant,home_foreign,parent
198261,B3CW22,coral_field,12.06624,-68.86019,5,,T1,B3CW22,B3,46FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,46DBSS
198262,B4CW22,coral_field,12.06624,-68.86019,5,,T1,B4CW22,B4,47FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,47DBSS
198263,B5CW22,coral_field,12.06624,-68.86019,5,,T1,B5CW22,B5,48FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,48DBSS
198264,B6CW22,coral_field,12.06624,-68.86019,5,,T1,B6CW22,B6,49FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,49DBSS
198265,B7CW22,coral_field,12.06624,-68.86019,5,,T1,B7CW22,B7,50FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,50DBSS
198286,D4CW22,coral_field,12.07093,-68.8585,1,,T1,D4CW22,D4,61FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,61DRSS
198287,D5CW22,coral_field,12.07093,-68.8585,1,,T1,D5CW22,D5,62FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,62DRSS
198288,D6CW22,coral_field,12.07093,-68.8585,1,,T1,D6CW22,D6,63FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,63DRSS
198289,D7CW22,coral_field,12.07093,-68.8585,1,,T1,D7CW22,D7,64FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,64DRSS
198290,D8CW22,coral_field,12.07093,-68.8585,1,,T1,D8CW22,D8,65FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,65DRSS
198291,D9CW22,coral_field,12.07093,-68.8585,1,,T1,D9CW22,D9,66FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,66DRSS
198292,D10CW22,coral_field,12.07093,-68.8585,1,,T1,D10CW22,D10,67FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,67DRSS
198293,D11CW22,coral_field,12.07093,-68.8585,1,,T1,D11CW22,D11,68FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,68DRSS
198294,D12CW22,coral_field,12.07093,-68.8585,1,,T1,D12CW22,D12,69FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,69DRSS
198295,E1CW22,coral_field,12.07093,-68.8585,1,,T1,E1CW22,E1,70FBSX,22-Nov,Siderastrea siderea,Reef Transplant,Reef,Bay,Transplant,Foreign,70DRSS
198327,A1CW23,coral_field,12.07093,-68.8585,1,,T2,A1CW23,A1,41HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,51DBPP
198328,A2CW23,coral_field,12.07093,-68.8585,1,,T2,A2CW23,A2,42HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,52DBPP
198329,A3CW23,coral_field,12.07093,-68.8585,1,,T2,A3CW23,A3,43HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,53DBPP
198330,A4CW23,coral_field,12.07093,-68.8585,1,,T2,A4CW23,A4,44HBPY,23-Jun,Porites sp.,Bay Native,Bay,Bay,Native,Home,54DBPP
